date,home_team,away_team,home_score,away_score,tourniment,city,country
1996-07-09,Estonia,Lithuania,1,1,Baltic Cup,Narva,Estonia
1996-07-31,Belarus,Lithuania,2,2,Friendly,Minsk,Belarus
1996-08-13,Ukraine,Lithuania,5,2,Friendly,Ky�v,Ukraine
1996-08-31,Romania,Lithuania,3,0,FIFA World Cup qualification,Bucharest,Romania
1996-10-05,Lithuania,Iceland,2,0,FIFA World Cup qualification,Vilnius,Lithuania
1996-10-09,Lithuania,Liechtenstein,2,1,FIFA World Cup qualification,Vilnius,Lithuania
1996-10-16,Brazil,Lithuania,3,1,Friendly,Teresina,Brazil
1996-11-03,Lithuania,Indonesia,4,0,Friendly,Vilnius,Lithuania
1997-02-14,Lithuania,Poland,0,0,Cyprus International Tournament,Ag�a N�pa,Cyprus
1997-02-15,Latvia,Lithuania,1,0,Cyprus International Tournament,Dherynia,Cyprus
1997-02-17,Cyprus,Lithuania,1,0,Cyprus International Tournament,Paral�mni,Cyprus
1997-04-02,Lithuania,Romania,0,1,FIFA World Cup qualification,Vilnius,Lithuania
1997-04-30,Liechtenstein,Lithuania,0,2,FIFA World Cup qualification,Eschen,Liechtenstein
1997-06-11,Iceland,Lithuania,0,0,FIFA World Cup qualification,Reykjav�k,Iceland
1997-07-09,Lithuania,Estonia,2,1,Baltic Cup,Vilnius,Lithuania
1997-07-11,Lithuania,Latvia,1,0,Baltic Cup,Vilnius,Lithuania
1997-08-06,Sweden,Lithuania,1,0,Friendly,Malm�,Sweden
1997-08-20,Republic of Ireland,Lithuania,0,0,FIFA World Cup qualification,Dublin,Republic of Ireland
1997-09-06,Lithuania,North Macedonia,2,0,FIFA World Cup qualification,Vilnius,Lithuania
1997-09-10,Lithuania,Republic of Ireland,1,2,FIFA World Cup qualification,Vilnius,Lithuania
1997-09-24,Poland,Lithuania,2,0,Friendly,Olsztyn,Poland
1997-10-11,North Macedonia,Lithuania,1,2,FIFA World Cup qualification,Skopje,North Macedonia
1998-04-21,Latvia,Lithuania,1,2,Baltic Cup,Liepoja,Latvia
1998-04-29,Chile,Lithuania,1,0,Friendly,Santiago,Chile
1998-05-27,Hungary,Lithuania,1,0,Friendly,Ny�regyh�za,Hungary
1998-06-07,Belarus,Lithuania,5,0,Friendly,Minsk,Belarus
1998-06-26,Azerbaijan,Lithuania,2,1,Friendly,Viljandi,Estonia
1998-06-28,Estonia,Lithuania,0,0,Baltic Cup,Viljandi,Estonia
1998-06-29,Lithuania,Andorra,4,0,Friendly,Karksi-Nuia,Estonia
1998-08-16,Lithuania,Moldova,1,1,Friendly,Kaunas,Lithuania
1998-08-19,Lithuania,Belarus,0,3,Friendly,Vilnius,Lithuania
1998-09-05,Lithuania,Scotland,0,0,UEFA Euro qualification,Vilnius,Lithuania
1998-10-10,Lithuania,Faroe Islands,0,0,UEFA Euro qualification,Vilnius,Lithuania
1998-10-14,Lithuania,Bosnia and Herzegovina,4,2,UEFA Euro qualification,Vilnius,Lithuania
1999-03-27,Czech Republic,Lithuania,2,0,UEFA Euro qualification,Teplice,Czech Republic
1999-03-31,Lithuania,Estonia,1,2,UEFA Euro qualification,Vilnius,Lithuania
1999-06-05,Bosnia and Herzegovina,Lithuania,2,0,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina
1999-06-09,Estonia,Lithuania,1,2,UEFA Euro qualification,Tallinn,Estonia
1999-06-26,Argentina,Lithuania,0,0,Friendly,Buenos Aires,Argentina
1999-07-02,Lithuania,Indonesia,2,2,Friendly,Valga,Estonia
1999-08-18,Norway,Lithuania,1,0,Friendly,Oslo,Norway
1999-09-04,Lithuania,Czech Republic,0,4,UEFA Euro qualification,Vilnius,Lithuania
1999-09-08,Faroe Islands,Lithuania,0,1,UEFA Euro qualification,T�rshavn,Faroe Islands
1999-10-09,Scotland,Lithuania,3,0,UEFA Euro qualification,Glasgow,Scotland
2000-02-02,Cyprus,Lithuania,2,1,Cyprus International Tournament,Limassol,Cyprus
2000-02-04,Moldova,Lithuania,2,1,Cyprus International Tournament,Larnaca,Cyprus
2000-02-06,Latvia,Lithuania,1,2,Cyprus International Tournament,Larnaca,Cyprus
2000-04-26,Lithuania,Latvia,2,1,Baltic Cup,Kaunas,Lithuania
2000-08-16,Portugal,Lithuania,5,1,Friendly,Viseu,Portugal
2000-09-03,Romania,Lithuania,1,0,FIFA World Cup qualification,Bucharest,Romania
2000-10-07,Lithuania,Georgia,0,4,FIFA World Cup qualification,Kaunas,Lithuania
2000-10-11,Lithuania,Hungary,1,6,FIFA World Cup qualification,Kaunas,Lithuania
2000-12-22,Catalonia,Lithuania,5,0,Friendly,Barcelona,Spain
2001-02-26,Cyprus,Lithuania,1,2,Cyprus International Tournament,Limassol,Cyprus
2001-02-28,Lithuania,Romania,0,3,Cyprus International Tournament,Nicosia,Cyprus
2001-03-24,Hungary,Lithuania,1,1,FIFA World Cup qualification,Budapest,Hungary
2001-03-28,Italy,Lithuania,4,0,FIFA World Cup qualification,Trieste,Italy
2001-06-06,Lithuania,Romania,1,2,FIFA World Cup qualification,Kaunas,Lithuania
2001-07-04,Estonia,Lithuania,2,5,Baltic Cup,Riga,Latvia
2001-07-05,Latvia,Lithuania,4,1,Baltic Cup,Riga,Latvia
2001-08-15,Lithuania,Israel,2,3,Friendly,Kaunas,Lithuania
2001-09-01,Lithuania,Italy,0,0,FIFA World Cup qualification,Kaunas,Lithuania
2001-09-05,Georgia,Lithuania,2,0,FIFA World Cup qualification,Tbilisi,Georgia
2002-02-09,Lithuania,Moldova,1,0,Malta International Tournament,Attard,Malta
2002-02-11,Malta,Lithuania,1,1,Malta International Tournament,Attard,Malta
2002-02-13,Lithuania,Jordan,0,3,Malta International Tournament,Attard,Malta
2002-04-17,Serbia,Lithuania,4,1,Friendly,Smederevo,Yugoslavia
2002-08-21,Lithuania,Israel,2,4,Friendly,Kaunas,Lithuania
2002-09-07,Lithuania,Germany,0,2,UEFA Euro qualification,Kaunas,Lithuania
2002-10-12,Lithuania,Faroe Islands,2,0,UEFA Euro qualification,Kaunas,Lithuania
2002-10-16,Iceland,Lithuania,3,0,UEFA Euro qualification,Reykjav�k,Iceland
2003-02-12,Latvia,Lithuania,2,1,Friendly,Antalya,Turkey
2003-03-29,Germany,Lithuania,1,1,UEFA Euro qualification,Nuremberg,Germany
2003-04-02,Lithuania,Scotland,1,0,UEFA Euro qualification,Kaunas,Lithuania
2003-04-30,Lithuania,Romania,0,1,Friendly,Kaunas,Lithuania
2003-06-11,Lithuania,Iceland,0,3,UEFA Euro qualification,Kaunas,Lithuania
2003-07-03,Estonia,Lithuania,1,5,Baltic Cup,Valga,Estonia
2003-07-04,Latvia,Lithuania,2,1,Baltic Cup,Valga,Estonia
2003-08-20,Bulgaria,Lithuania,3,0,Friendly,Sofia,Bulgaria
2003-09-10,Faroe Islands,Lithuania,1,3,UEFA Euro qualification,Toftir,Faroe Islands
2003-10-11,Scotland,Lithuania,1,0,UEFA Euro qualification,Glasgow,Scotland
2003-12-14,Lithuania,Poland,1,3,Friendly,Attard,Malta
2004-03-30,Israel,Lithuania,2,1,Friendly,Ramat-Gan,Israel
2004-04-28,Belarus,Lithuania,1,0,Friendly,Minsk,Belarus
2004-06-05,Portugal,Lithuania,4,1,Friendly,Set�bal,Portugal
2004-08-18,Russia,Lithuania,4,3,Friendly,Moscow,Russia
2004-09-04,Belgium,Lithuania,1,1,FIFA World Cup qualification,Charleroi,Belgium
2004-09-08,Lithuania,San Marino,4,0,FIFA World Cup qualification,Kaunas,Lithuania
2004-10-13,Lithuania,Spain,0,0,FIFA World Cup qualification,Vilnius,Lithuania
2004-11-17,San Marino,Lithuania,0,1,FIFA World Cup qualification,Serravalle,San Marino
2005-02-09,Georgia,Lithuania,1,0,Friendly,Tbilisi,Georgia
2005-03-30,Bosnia and Herzegovina,Lithuania,1,1,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina
2005-05-21,Lithuania,Latvia,2,0,Baltic Cup,Kaunas,Lithuania
2005-06-04,Spain,Lithuania,1,0,FIFA World Cup qualification,Valencia,Spain
2005-08-17,Lithuania,Belarus,1,0,Friendly,Vilnius,Lithuania
2005-09-03,Serbia,Lithuania,2,0,FIFA World Cup qualification,Belgrade,Serbia and Montenegro
2005-09-07,Lithuania,Bosnia and Herzegovina,0,1,FIFA World Cup qualification,Vilnius,Lithuania
2005-10-08,Lithuania,Serbia,0,2,FIFA World Cup qualification,Vilnius,Lithuania
2005-10-12,Lithuania,Belgium,1,1,FIFA World Cup qualification,Vilnius,Lithuania
2006-03-01,Albania,Lithuania,1,2,Friendly,Tirana,Albania
2006-05-02,Poland,Lithuania,0,1,Friendly,Be?chat�w,Poland
2006-08-16,Moldova,Lithuania,3,2,Friendly,Chi?in?u,Moldova
2006-09-02,Italy,Lithuania,1,1,UEFA Euro qualification,Naples,Italy
2006-09-06,Lithuania,Scotland,1,2,UEFA Euro qualification,Kaunas,Lithuania
2006-10-07,Faroe Islands,Lithuania,0,1,UEFA Euro qualification,T�rshavn,Faroe Islands
2006-10-11,Kuwait,Lithuania,1,0,Friendly,Kuwait City,Kuwait
2006-11-15,Malta,Lithuania,1,4,Friendly,Attard,Malta
2007-02-06,Lithuania,Mali,1,3,Friendly,La Courneuve,France
2007-03-24,Lithuania,France,0,1,UEFA Euro qualification,Kaunas,Lithuania
2007-03-28,Ukraine,Lithuania,1,0,UEFA Euro qualification,Odesa,Ukraine
2007-06-02,Lithuania,Georgia,1,0,UEFA Euro qualification,Kaunas,Lithuania
2007-06-06,Lithuania,Italy,0,2,UEFA Euro qualification,Kaunas,Lithuania
2007-08-22,Lithuania,Turkmenistan,2,1,Friendly,Kaunas,Lithuania
2007-09-08,Scotland,Lithuania,3,1,UEFA Euro qualification,Glasgow,Scotland
2007-09-12,Lithuania,Faroe Islands,2,1,UEFA Euro qualification,Kaunas,Lithuania
2007-10-17,France,Lithuania,2,0,UEFA Euro qualification,Nantes,France
2007-11-17,Lithuania,Ukraine,2,0,UEFA Euro qualification,Kaunas,Lithuania
2007-11-21,Georgia,Lithuania,0,2,UEFA Euro qualification,Tbilisi,Georgia
2008-03-26,Lithuania,Azerbaijan,1,0,Friendly,Vilnius,Lithuania
2008-05-27,Czech Republic,Lithuania,2,0,Friendly,Prague,Czech Republic
2008-05-31,Estonia,Lithuania,0,1,Baltic Cup,Jurmala,Latvia
2008-06-01,Latvia,Lithuania,2,1,Baltic Cup,Riga,Latvia
2008-06-04,Lithuania,Russia,1,4,Friendly,Burghausen,Germany
2008-08-20,Lithuania,Moldova,3,0,Friendly,Marijampol?,Lithuania
2008-09-06,Romania,Lithuania,0,3,FIFA World Cup qualification,Cluj,Romania
2008-09-10,Lithuania,Austria,2,0,FIFA World Cup qualification,Marijampol?,Lithuania
2008-10-11,Serbia,Lithuania,3,0,FIFA World Cup qualification,Belgrade,Serbia
2008-10-15,Lithuania,Faroe Islands,1,0,FIFA World Cup qualification,Kaunas,Lithuania
2008-11-19,Moldova,Lithuania,1,1,Friendly,Tallinn,Estonia
2008-11-22,Estonia,Lithuania,1,1,Friendly,Kuressaare,Estonia
2009-02-07,Lithuania,Poland,1,1,Friendly,Faro,Portugal
2009-02-11,Andorra,Lithuania,1,3,Friendly,Albufeira,Portugal
2009-03-28,Lithuania,France,0,1,FIFA World Cup qualification,Kaunas,Lithuania
2009-04-01,France,Lithuania,1,0,FIFA World Cup qualification,Saint-Denis,France
2009-06-06,Lithuania,Romania,0,1,FIFA World Cup qualification,Marijampol?,Lithuania
2009-08-12,Luxembourg,Lithuania,0,1,Friendly,Luxembourg,Luxembourg
2009-09-09,Faroe Islands,Lithuania,2,1,FIFA World Cup qualification,Toftir,Faroe Islands
2009-10-10,Austria,Lithuania,2,1,FIFA World Cup qualification,Innsbruck,Austria
2009-10-14,Lithuania,Serbia,2,1,FIFA World Cup qualification,Marijampol?,Lithuania
2010-05-25,Ukraine,Lithuania,4,0,Friendly,Kharkiv,Ukraine
2010-06-18,Lithuania,Latvia,0,0,Baltic Cup,Kaunas,Lithuania
2010-06-20,Lithuania,Estonia,2,0,Baltic Cup,Kaunas,Lithuania
2010-08-11,Lithuania,Belarus,0,2,Friendly,Kaunas,Lithuania
2010-09-03,Lithuania,Scotland,0,0,UEFA Euro qualification,Kaunas,Lithuania
2010-09-07,Czech Republic,Lithuania,0,1,UEFA Euro qualification,Olomouc,Czech Republic
2010-10-08,Spain,Lithuania,3,1,UEFA Euro qualification,Salamanca,Spain
2010-11-17,Hungary,Lithuania,2,0,Friendly,Sz�kesfeh�rv�r,Hungary
2010-11-17,Hungary,Lithuania,2,0,Friendly,Sz�kesfeh�rv�r,Hungary
2011-03-25,Lithuania,Poland,2,0,Friendly,Kaunas,Lithuania
2011-03-25,Lithuania,Poland,2,0,Friendly,Kaunas,Lithuania
2011-03-29,Lithuania,Spain,1,3,UEFA Euro qualification,Kaunas,Lithuania
2011-03-29,Lithuania,Spain,1,3,UEFA Euro qualification,Kaunas,Lithuania
2011-06-03,Liechtenstein,Lithuania,2,0,UEFA Euro qualification,Vaduz,Liechtenstein
2011-06-03,Liechtenstein,Lithuania,2,0,UEFA Euro qualification,Vaduz,Liechtenstein
2011-06-07,Norway,Lithuania,1,0,Friendly,Oslo,Norway
2011-06-07,Norway,Lithuania,1,0,Friendly,Oslo,Norway
2011-08-10,Lithuania,Armenia,3,0,Friendly,Kaunas,Lithuania
2011-08-10,Lithuania,Armenia,3,0,Friendly,Kaunas,Lithuania
2011-09-02,Lithuania,Liechtenstein,0,0,UEFA Euro qualification,Kaunas,Lithuania
2011-09-02,Lithuania,Liechtenstein,0,0,UEFA Euro qualification,Kaunas,Lithuania
2011-09-06,Scotland,Lithuania,1,0,UEFA Euro qualification,Glasgow,Scotland
2011-09-06,Scotland,Lithuania,1,0,UEFA Euro qualification,Glasgow,Scotland
2011-10-11,Lithuania,Czech Republic,1,4,UEFA Euro qualification,Kaunas,Lithuania
2011-10-11,Lithuania,Czech Republic,1,4,UEFA Euro qualification,Kaunas,Lithuania
2012-05-29,Lithuania,Russia,0,0,Friendly,Nyon,Switzerland
2012-05-29,Lithuania,Russia,0,0,Friendly,Nyon,Switzerland
2012-06-01,Latvia,Lithuania,5,0,Baltic Cup,Veru,Estonia
2012-06-01,Latvia,Lithuania,5,0,Baltic Cup,Veru,Estonia
2012-06-03,Estonia,Lithuania,1,0,Baltic Cup,Tartu,Estonia
2012-06-03,Estonia,Lithuania,1,0,Baltic Cup,Tartu,Estonia
2012-06-07,Belarus,Lithuania,1,1,Friendly,Minsk,Belarus
2012-06-07,Belarus,Lithuania,1,1,Friendly,Minsk,Belarus
2012-08-15,North Macedonia,Lithuania,1,0,Friendly,Skopje,North Macedonia
2012-08-15,North Macedonia,Lithuania,1,0,Friendly,Skopje,North Macedonia
2012-09-07,Lithuania,Slovakia,1,1,FIFA World Cup qualification,Vilnius,Lithuania
2012-09-07,Lithuania,Slovakia,1,1,FIFA World Cup qualification,Vilnius,Lithuania
2012-09-11,Greece,Lithuania,2,0,FIFA World Cup qualification,Piraeus,Greece
2012-09-11,Greece,Lithuania,2,0,FIFA World Cup qualification,Piraeus,Greece
2012-10-12,Liechtenstein,Lithuania,0,2,FIFA World Cup qualification,Vaduz,Liechtenstein
2012-10-12,Liechtenstein,Lithuania,0,2,FIFA World Cup qualification,Vaduz,Liechtenstein
2012-10-16,Bosnia and Herzegovina,Lithuania,3,0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina
2012-10-16,Bosnia and Herzegovina,Lithuania,3,0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina
2012-11-14,Armenia,Lithuania,4,2,Friendly,Yerevan,Armenia
2012-11-14,Armenia,Lithuania,4,2,Friendly,Yerevan,Armenia
2013-03-22,Slovakia,Lithuania,1,1,FIFA World Cup qualification,�ilina,Slovakia
2013-03-22,Slovakia,Lithuania,1,1,FIFA World Cup qualification,�ilina,Slovakia
2013-03-26,Albania,Lithuania,4,1,Friendly,Tirana,Albania
2013-03-26,Albania,Lithuania,4,1,Friendly,Tirana,Albania
2013-06-07,Lithuania,Greece,0,1,FIFA World Cup qualification,Vilnius,Lithuania
2013-06-07,Lithuania,Greece,0,1,FIFA World Cup qualification,Vilnius,Lithuania
2013-08-14,Luxembourg,Lithuania,2,1,Friendly,Luxembourg,Luxembourg
2013-08-14,Luxembourg,Lithuania,2,1,Friendly,Luxembourg,Luxembourg
2013-09-06,Latvia,Lithuania,2,1,FIFA World Cup qualification,Riga,Latvia
2013-09-06,Latvia,Lithuania,2,1,FIFA World Cup qualification,Riga,Latvia
2013-09-10,Lithuania,Liechtenstein,2,0,FIFA World Cup qualification,Marijampol?,Lithuania
2013-09-10,Lithuania,Liechtenstein,2,0,FIFA World Cup qualification,Marijampol?,Lithuania
2013-10-11,Lithuania,Latvia,2,0,FIFA World Cup qualification,Vilnius,Lithuania
2013-10-11,Lithuania,Latvia,2,0,FIFA World Cup qualification,Vilnius,Lithuania
2013-10-15,Lithuania,Bosnia and Herzegovina,0,1,FIFA World Cup qualification,Kaunas,Lithuania
2013-10-15,Lithuania,Bosnia and Herzegovina,0,1,FIFA World Cup qualification,Kaunas,Lithuania
2013-11-18,Moldova,Lithuania,1,1,Friendly,Chi?in?u,Moldova
2013-11-18,Moldova,Lithuania,1,1,Friendly,Chi?in?u,Moldova
2014-03-05,Kazakhstan,Lithuania,1,1,Friendly,Antalya,Turkey
2014-03-05,Kazakhstan,Lithuania,1,1,Friendly,Antalya,Turkey
2014-05-29,Finland,Lithuania,0,1,Baltic Cup,Ventspils,Latvia
2014-05-29,Finland,Lithuania,0,1,Baltic Cup,Ventspils,Latvia
2014-05-31,Latvia,Lithuania,1,0,Baltic Cup,Liepoja,Latvia
2014-05-31,Latvia,Lithuania,1,0,Baltic Cup,Liepoja,Latvia
2014-06-06,Poland,Lithuania,2,1,Friendly,Gda?sk,Poland
2014-06-06,Poland,Lithuania,2,1,Friendly,Gda?sk,Poland
2014-09-03,Lithuania,United Arab Emirates,1,1,Friendly,Matrei in Osttirol,Austria
2014-09-03,Lithuania,United Arab Emirates,1,1,Friendly,Matrei in Osttirol,Austria
2014-09-08,San Marino,Lithuania,0,2,UEFA Euro qualification,Serravalle,San Marino
2014-09-08,San Marino,Lithuania,0,2,UEFA Euro qualification,Serravalle,San Marino
2014-10-09,Lithuania,Estonia,1,0,UEFA Euro qualification,Vilnius,Lithuania
2014-10-09,Lithuania,Estonia,1,0,UEFA Euro qualification,Vilnius,Lithuania
2014-10-12,Lithuania,Slovenia,0,2,UEFA Euro qualification,Vilnius,Lithuania
2014-10-12,Lithuania,Slovenia,0,2,UEFA Euro qualification,Vilnius,Lithuania
2014-11-15,Switzerland,Lithuania,4,0,UEFA Euro qualification,St. Gallen,Switzerland
2014-11-15,Switzerland,Lithuania,4,0,UEFA Euro qualification,St. Gallen,Switzerland
2014-11-18,Ukraine,Lithuania,0,0,Friendly,Ky�v,Ukraine
2014-11-18,Ukraine,Lithuania,0,0,Friendly,Ky�v,Ukraine
2015-03-27,England,Lithuania,4,0,UEFA Euro qualification,London,England
2015-03-27,England,Lithuania,4,0,UEFA Euro qualification,London,England
2015-06-05,Hungary,Lithuania,4,0,Friendly,Debrecen,Hungary
2015-06-05,Hungary,Lithuania,4,0,Friendly,Debrecen,Hungary
2015-06-08,Malta,Lithuania,2,0,Friendly,Attard,Malta
2015-06-08,Malta,Lithuania,2,0,Friendly,Attard,Malta
2015-06-14,Lithuania,Switzerland,1,2,UEFA Euro qualification,Vilnius,Lithuania
2015-06-14,Lithuania,Switzerland,1,2,UEFA Euro qualification,Vilnius,Lithuania
2015-09-05,Estonia,Lithuania,1,0,UEFA Euro qualification,Tallinn,Estonia
2015-09-05,Estonia,Lithuania,1,0,UEFA Euro qualification,Tallinn,Estonia
2015-09-08,Lithuania,San Marino,2,1,UEFA Euro qualification,Vilnius,Lithuania
2015-09-08,Lithuania,San Marino,2,1,UEFA Euro qualification,Vilnius,Lithuania
2015-10-09,Slovenia,Lithuania,1,1,UEFA Euro qualification,Ljubljana,Slovenia
2015-10-09,Slovenia,Lithuania,1,1,UEFA Euro qualification,Ljubljana,Slovenia
2015-10-12,Lithuania,England,0,3,UEFA Euro qualification,Vilnius,Lithuania
2015-10-12,Lithuania,England,0,3,UEFA Euro qualification,Vilnius,Lithuania
2016-03-23,Romania,Lithuania,1,0,Friendly,Giurgiu,Romania
2016-03-23,Romania,Lithuania,1,0,Friendly,Giurgiu,Romania
2016-03-26,Russia,Lithuania,3,0,Friendly,Moscow,Russia
2016-03-26,Russia,Lithuania,3,0,Friendly,Moscow,Russia
2016-05-29,Lithuania,Estonia,2,0,Baltic Cup,Klaipeda,Lithuania
2016-05-29,Lithuania,Estonia,2,0,Baltic Cup,Klaipeda,Lithuania
2016-06-01,Latvia,Lithuania,2,1,Baltic Cup,Liepoja,Latvia
2016-06-01,Latvia,Lithuania,2,1,Baltic Cup,Liepoja,Latvia
2016-06-06,Poland,Lithuania,0,0,Friendly,Cracow,Poland
2016-06-06,Poland,Lithuania,0,0,Friendly,Cracow,Poland
2016-09-04,Lithuania,Slovenia,2,2,FIFA World Cup qualification,Vilnius,Lithuania
2016-09-04,Lithuania,Slovenia,2,2,FIFA World Cup qualification,Vilnius,Lithuania
2016-10-08,Scotland,Lithuania,1,1,FIFA World Cup qualification,Glasgow,Scotland
2016-10-08,Scotland,Lithuania,1,1,FIFA World Cup qualification,Glasgow,Scotland
2016-10-11,Lithuania,Malta,2,0,FIFA World Cup qualification,Vilnius,Lithuania
2016-10-11,Lithuania,Malta,2,0,FIFA World Cup qualification,Vilnius,Lithuania
2016-11-11,Slovakia,Lithuania,4,0,FIFA World Cup qualification,Trnava,Slovakia
2016-11-11,Slovakia,Lithuania,4,0,FIFA World Cup qualification,Trnava,Slovakia
2017-03-22,Czech Republic,Lithuania,3,0,Friendly,�st� nad Labem,Czech Republic
2017-03-22,Czech Republic,Lithuania,3,0,Friendly,�st� nad Labem,Czech Republic
2017-03-26,England,Lithuania,2,0,FIFA World Cup qualification,London,England
2017-03-26,England,Lithuania,2,0,FIFA World Cup qualification,London,England
2017-06-10,Lithuania,Slovakia,1,2,FIFA World Cup qualification,Vilnius,Lithuania
2017-06-10,Lithuania,Slovakia,1,2,FIFA World Cup qualification,Vilnius,Lithuania
2017-09-01,Lithuania,Scotland,0,3,FIFA World Cup qualification,Vilnius,Lithuania
2017-09-01,Lithuania,Scotland,0,3,FIFA World Cup qualification,Vilnius,Lithuania
2017-09-04,Slovenia,Lithuania,4,0,FIFA World Cup qualification,Ljubljana,Slovenia
2017-09-04,Slovenia,Lithuania,4,0,FIFA World Cup qualification,Ljubljana,Slovenia
2017-10-05,Malta,Lithuania,1,1,FIFA World Cup qualification,Attard,Malta
2017-10-05,Malta,Lithuania,1,1,FIFA World Cup qualification,Attard,Malta
2017-10-08,Lithuania,England,0,1,FIFA World Cup qualification,Vilnius,Lithuania
